probeID	symbol	description	accession	ensg	unigene
15321	LOC148696	Hypothetical LOC148696	AL137491	NA	Hs.125511
15322	KCTD20	Potassium channel tetramerisation domain containing 20	AL049282	ENSG00000112078	Hs.188757
15323	NUP98	Nucleoporin 98kDa	NM_016320	ENSG00000110713|ENSG00000110713	Hs.524750
15324	RHCG	"Rh family, C glycoprotein"	NM_016321	ENSG00000140519	Hs.459284
15325	STAG3L1	Stromal antigen 3-like 1	AL137492	ENSG00000174353|ENSG00000160828	Hs.632310
15326	RAB14	"RAB14, member RAS oncogene family"	NM_016322	ENSG00000119396|ENSG00000119396	Hs.371563
15327	INPP5A	"Inositol polyphosphate-5-phosphatase, 40kDa"	X77567	ENSG00000068383	Hs.523360
15328	IGFN1	Immunoglobulin-like and fibronectin type III domain containing 1	AL137493	ENSG00000163395	Hs.519024
15329		Transcribed locus	AA131663		Hs.70723
15330	HERC5	Hect domain and RLD 5	NM_016323	ENSG00000138646	Hs.26663
15331	ZNF274	Zinc finger protein 274	NM_016324		Hs.83761
15332	MUC4	"Mucin 4, cell surface associated"	AJ276359	ENSG00000145113|ENSG00000145113	Hs.369646
15333	ZNF274	Zinc finger protein 274	NM_016325	ENSG00000171606|ENSG00000171606	Hs.83761
15334	SIAE	Sialic acid acetylesterase	AL137496	ENSG00000110013	Hs.10056
15335	CKLF	Chemokine-like factor	NM_016326	ENSG00000217555|ENSG00000217555	Hs.15159
15336	UPB1	"Ureidopropionase, beta"	NM_016327	ENSG00000100024	Hs.474388
15337	SCN2A	"Sodium channel, voltage-gated, type II, alpha subunit"	AL137498		Hs.93485
15338	SFMBT1	Scm-like with four mbt domains 1	NM_016329	ENSG00000163935|ENSG00000163935	Hs.343679
15339	SLIT3	Slit homolog 3 (Drosophila)	AB011538		Hs.604116
15340	MEGF6	Multiple EGF-like-domains 6	AB011539		Hs.593645
15341		Transcribed locus	AI217921		Hs.662512
15342	ALS2CR4	"Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4"	AA019711	ENSG00000155755	Hs.12319
15343	MAPK3	Mitogen-activated protein kinase 3	X60188	ENSG00000102882	Hs.861
15344		CDNA clone IMAGE:5275753	AI168475	NA	Hs.658218
15345		MRNA; cDNA DKFZp564N093 (from clone DKFZp564N093)	AL049291	NA	Hs.669941
15346	HERC4	Hect domain and RLD 4	NM_015601	ENSG00000148634|ENSG00000148634	Hs.51891
15347	ZNF639	Zinc finger protein 639	NM_016331	ENSG00000121864	Hs.632578
15348			AI052607		Data not found
15349	SEPX1	"Selenoprotein X, 1"	NM_016332	ENSG00000198736	Hs.655346
15350		Transcribed locus	AW136397		Hs.713972
15351	SRRM2	Serine/arginine repetitive matrix 2	NM_016333	ENSG00000167978	Hs.719123
15352			AL049296		Data not found
15353	GPR89A	G protein-coupled receptor 89A	NM_016334	ENSG00000117262|ENSG00000188092	Hs.645432
15354	PRODH	Proline dehydrogenase (oxidase) 1	NM_016335	ENSG00000100033	Hs.517352
15355	C1orf77	Chromosome 1 open reading frame 77	NM_015607		Hs.716398
15356			NM_016336		Data not found
15357	EVL	Enah/Vasp-like	NM_016337	ENSG00000196405	Hs.125867
15358	LRP4	Low density lipoprotein receptor-related protein 4	AB011540	ENSG00000134569	Hs.4930
15359		MRNA; cDNA DKFZp564P233 (from clone DKFZp564P233)	AL049299	NA	Hs.695168
15360	IPO11	Importin 11	NM_016338	ENSG00000086200	Hs.482269
15361	MEGF9	Multiple EGF-like-domains 9	AB011542	NA	Hs.715550
15362	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	NM_016339	ENSG00000108352	Hs.715686
15363			AA704285		Data not found
15364		Clone 23842 mRNA sequence	AI887498	NA|NA	Hs.656184
15365		Transcribed locus	AW014735		Hs.672239
15366		Transcribed locus	AA758932		Hs.665230
15367	WIPI2	"WD repeat domain, phosphoinositide interacting 2"	NM_015610	ENSG00000157954|ENSG00000157954	Hs.122363
15368	RAPGEF6	Rap guanine nucleotide exchange factor (GEF) 6	NM_016340	ENSG00000158987|ENSG00000158987|ENSG00000158987	Hs.483329
15369	PLCE1	"Phospholipase C, epsilon 1"	NM_016341	ENSG00000138193|ENSG00000138193	Hs.655033
15370	CENPF	"Centromere protein F, 350/400ka (mitosin)"	NM_016343	ENSG00000117724	Hs.497741
15371	ARD1A	"ARD1 homolog A, N-acetyltransferase (S. cerevisiae)"	X77588		Hs.433291
15372			NM_016344		Data not found
15373			NM_016345		Data not found
15374	NR2E3	"Nuclear receptor subfamily 2, group E, member 3"	NM_016346		Hs.187354
15375	NAT8B	"N-acetyltransferase 8B (GCN5-related, putative, gene/pseudogene)"	NM_016347	NA	Hs.719469
15376	C5orf4	Chromosome 5 open reading frame 4	NM_016348	ENSG00000170271	Hs.519694
15377			NM_016349		Data not found
15378	LCOR	Ligand dependent nuclear receptor corepressor	N64794	ENSG00000196233	Hs.500695
15379	POLR3A	"Polymerase (RNA) III (DNA directed) polypeptide A, 155kDa"	AW137149	ENSG00000148606|ENSG00000148606	Hs.436896
15380	C3orf62	Chromosome 3 open reading frame 62	AI016395	ENSG00000188315	Hs.403828
15381		Transcribed locus	AI866616		Hs.687942
15382	LOC389634	Hypothetical LOC389634	AI097452	NA	Hs.434403
15383	HIC2	Hypermethylated in cancer 2	AB028943	ENSG00000169635	Hs.632767
15384	ABHD6	Abhydrolase domain containing 6	AI672493		Hs.476454
15385	ATP11A	"ATPase, class VI, type 11A"	AB028944	ENSG00000068650|ENSG00000068650	Hs.29189
15386	SHANK2	SH3 and multiple ankyrin repeat domains 2	AB028945		Hs.268726
15387	KIAA1024	KIAA1024	AB028947	ENSG00000169330	Hs.301654
15388	ZNF335	Zinc finger protein 335	AI684745		Hs.174193
15389	ADIPOR2	Adiponectin receptor 2	N98338		Hs.371642
15390			AB028949		Data not found
15391		"CDNA FLJ11652 fis, clone HEMBA1004461"	AW139789	NA	Hs.656059
15392	CCT5	"Chaperonin containing TCP1, subunit 5 (epsilon)"	AW182317	ENSG00000150753|ENSG00000150753	Hs.1600
15393	NIN	Ninein (GSK3B interacting protein)	NM_016350	ENSG00000100503|ENSG00000100503	Hs.310429
15394	ADAM22	ADAM metallopeptidase domain 22	NM_016351		Hs.592282
15395	CPA4	Carboxypeptidase A4	NM_016352	ENSG00000128510|ENSG00000128510	Hs.93764
15396			NM_015623		Data not found
15397	ZDHHC2	"Zinc finger, DHHC-type containing 2"	NM_016353	ENSG00000104219	Hs.443852
15398	SLCO4A1	"Solute carrier organic anion transporter family, member 4A1"	NM_016354	ENSG00000101187	Hs.235782
15399	WSB1	WD repeat and SOCS box-containing 1	NM_015626	ENSG00000109046	Hs.446017
15400	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	NM_016355		Hs.23388
15401	DCDC2	Doublecortin domain containing 2	NM_016356	ENSG00000146038	Hs.61345
15402	LIMA1	LIM domain and actin binding 1	NM_016357	ENSG00000050405	Hs.525419
15403	IRX4	Iroquois homeobox 4	NM_016358	ENSG00000113430	Hs.196927
15404	PRPF31	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)	NM_015629	ENSG00000105618	Hs.515598
15405	NUSAP1	Nucleolar and spindle associated protein 1	NM_016359		Hs.615092
15406	C4orf23	Chromosome 4 open reading frame 23	AA157001	ENSG00000155275	Hs.566191
15407		Full length insert cDNA clone ZD52G03	W70147	NA	Hs.58068
15408		Transcribed locus	AI380529		Hs.659250
15409	TLN1	Talin 1	AB028950	ENSG00000137076|ENSG00000137076|ENSG00000137076	Hs.471014
15410		Transcribed locus	AI806370		Hs.665665
15411	IGSF9B	"Immunoglobulin superfamily, member 9B"	AB028953	ENSG00000080854	Hs.204121
15412	UNC13A	Unc-13 homolog A (C. elegans)	AB028955	ENSG00000130477|ENSG00000130477	Hs.164502
15413		Transcribed locus	AI340191		Hs.598768
15414	HHIP	Hedgehog interacting protein	AW263540	ENSG00000164161	Hs.507991
15415	NAT12	"N-acetyltransferase 12 (GCN5-related, putative)"	AA534210	ENSG00000139977	Hs.165465
15416	SATB2	SATB homeobox 2	AB028957	ENSG00000119042	Hs.516617
15417	NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	AI185718	ENSG00000138386|ENSG00000138386	Hs.570078
15418	COBLL1	COBL-like 1	NM_014900		Hs.470457
15419	RNF44	Ring finger protein 44	NM_014901	ENSG00000146083	Hs.434888
15420	CCDC44	Coiled-coil domain containing 44	NM_016360	ENSG00000136463	Hs.174134
15421	DLGAP4	"Discs, large (Drosophila) homolog-associated protein 4"	NM_014902	ENSG00000080845	Hs.249600
15422	ACP6	"Acid phosphatase 6, lysophosphatidic"	NM_016361	ENSG00000162836	Hs.562154
15423	NAV3	Neuron navigator 3	NM_014903	ENSG00000067798	Hs.655301
15424	GHRL	Ghrelin/obestatin prepropeptide	NM_016362	ENSG00000157017	Hs.590080
15425	RAB11FIP2	RAB11 family interacting protein 2 (class I)	NM_014904	ENSG00000107560	Hs.173656
15426	GP6	Glycoprotein VI (platelet)	NM_016363	ENSG00000088053	Hs.661752
15427	TMEM126A	Transmembrane protein 126A	W93642	ENSG00000171202	Hs.533725
15428	GLS	Glutaminase	NM_014905		Hs.116448
15429	DUSP13	Dual specificity phosphatase 13	NM_016364	ENSG00000079393	Hs.178170
15430	PPM1E	Protein phosphatase 1E (PP2C domain containing)	NM_014906		Hs.245044
15431			NM_016365		Data not found
15432	FRMPD1	FERM and PDZ domain containing 1	NM_014907	ENSG00000070601	Hs.163990
15433	CABP2	Calcium binding protein 2	NM_016366	ENSG00000167791	Hs.278984
15434	DOLK	Dolichol kinase	NM_014908	ENSG00000175283	Hs.531563
15435	VASH1	Vasohibin 1	NM_014909	ENSG00000071246	Hs.525479
15436	ISYNA1	Inositol-3-phosphate synthase 1	NM_016368	ENSG00000105655	Hs.405873
15437	CLDN18	Claudin 18	NM_016369		Hs.655324
15438		Transcribed locus	AA778674		Hs.122053
15439		Transcribed locus	AI857412		Hs.527213
15440	WDTC1	WD and tetratricopeptide repeats 1	AB028960	ENSG00000142784	Hs.469154
15441			AB028962		Data not found
15442	MON2	MON2 homolog (S. cerevisiae)	AB028963	ENSG00000061987	Hs.389378
15443	TTC28	Tetratricopeptide repeat domain 28	AB028966	ENSG00000100154	Hs.387856
15444	GSTO2	Glutathione S-transferase omega 2	AI041976	ENSG00000065621	Hs.203634
15445	CACNA1D	"Calcium channel, voltage-dependent, L type, alpha 1D subunit"	AW029633	ENSG00000157388|ENSG00000157388	Hs.476358
15446		"CDNA FLJ34209 fis, clone FCBBF3020599"	AI741411	NA	Hs.592819
15447	KIAA1045	KIAA1045	AB028968	ENSG00000122733	Hs.7989
15448		"CDNA FLJ42315 fis, clone TRACH2019661"	H18920	NA	Hs.586550
15449	RG9MTD3	RNA (guanine-9-) methyltransferase domain containing 3	AI279018	ENSG00000165275	Hs.655614
15450	ZNF507	Zinc finger protein 507	NM_014910		Hs.205392
15451	AAK1	AP2 associated kinase 1	NM_014911		Hs.468878
15452	SERBP1	SERPINE1 mRNA binding protein 1	NM_015640		Hs.719078
15453	TES	Testis derived transcript (3 LIM domains)	NM_015641	ENSG00000135269	Hs.592286
15454	CPEB3	Cytoplasmic polyadenylation element binding protein 3	NM_014912	ENSG00000107864	Hs.131683
15455	RAB9B	"RAB9B, member RAS oncogene family"	NM_016370	ENSG00000123570	Hs.522736
15456	ZBTB20	Zinc finger and BTB domain containing 20	NM_015642	ENSG00000181722|ENSG00000181722	Hs.655108
15457	ADNP2	ADNP homeobox 2	NM_014913	ENSG00000101544|ENSG00000101544	Hs.131915
15458	HSD17B7	Hydroxysteroid (17-beta) dehydrogenase 7	NM_016371	ENSG00000132196	Hs.492925
15459	AGAP1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"	NM_014914	ENSG00000157985	Hs.435039
15460	GPR175	G protein-coupled receptor 175	NM_016372	ENSG00000163870	Hs.6418
15461	WWOX	WW domain containing oxidoreductase	NM_016373	ENSG00000186153	Hs.461453
15462	ANKRD26	Ankyrin repeat domain 26	NM_014915	ENSG00000107890	Hs.361041
15463	MMP2	"Matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"	AA758545	ENSG00000087245	Hs.513617
15464			NM_015644		Data not found
15465	ARID4B	AT rich interactive domain 4B (RBP1-like)	NM_016374	ENSG00000054267|ENSG00000054267	Hs.575782
15466	LMTK2	Lemur tyrosine kinase 2	NM_014916	ENSG00000164715	Hs.444179
15467	RAP1B	"RAP1B, member of RAS oncogene family"	NM_015646	ENSG00000127314|ENSG00000127314	Hs.369920
15468	NTNG1	Netrin G1	NM_014917	ENSG00000162631	Hs.657434
15469	CHSY1	Chondroitin sulfate synthase 1	NM_014918	ENSG00000131873	Hs.110488
15470	ANKFY1	Ankyrin repeat and FYVE domain containing 1	NM_016376		Hs.696087
15471	AKAP7	A kinase (PRKA) anchor protein 7	NM_016377		Hs.486483
15472	NEURL3	Neuralized homolog 3 (Drosophila) pseudogene	AI247103	NA	Hs.149219
15473	VCX3A	"Variable charge, X-linked 3A"	NM_016379	ENSG00000169059	Hs.278906
15474			AI733624		Data not found
15475	ASB14	Ankyrin repeat and SOCS box-containing 14	AA760911	ENSG00000168387	Hs.665154
15476	ZFP1	Zinc finger protein 1 homolog (mouse)	AL038511	ENSG00000184517|ENSG00000184517	Hs.388813
15477		Transcribed locus	AA765895		Hs.682915
15478		Transcribed locus	AA521240		Hs.587093
15479			W92744		Data not found
15480	FGFBP2	Fibroblast growth factor binding protein 2	AI770009	ENSG00000137441	Hs.98785
15481	PLEKHH2	"Pleckstrin homology domain containing, family H (with MyTH4 domain) member 2"	AW242708		Hs.164162
15482	TCF25	Transcription factor 25 (basic helix-loop-helix)	AB028972	ENSG00000141002	Hs.415342
15483	PEG10	Paternally expressed 10	AB028974	ENSG00000217473	Hs.147492
15484	SAMD4A	Sterile alpha motif domain containing 4A	AB028976	ENSG00000020577|ENSG00000020577	Hs.98259
15485	SV2C	Synaptic vesicle glycoprotein 2C	AB028977	ENSG00000122012	Hs.663229
15486	TBC1D2B	"TBC1 domain family, member 2B"	AB028978	ENSG00000167202	Hs.719242
15487	ZDHHC6	"Zinc finger, DHHC-type containing 6"	AI825896	ENSG00000023041	Hs.196990
15488	IFNA13	"Interferon, alpha 13"	NM_006900	ENSG00000120247	Hs.533471
15489	MYO9A	Myosin IXA	NM_006901	ENSG00000066933	Hs.546268
15490	TRA2A	Transformer 2 alpha homolog (Drosophila)	AI935087	ENSG00000164548|ENSG00000164548	Hs.445652
15491	ICK	Intestinal cell (MAK-like) kinase	NM_014920	ENSG00000112144|ENSG00000112144	Hs.417022
15492	LPHN1	Latrophilin 1	NM_014921		Hs.654658
15493	NLRP1	"NLR family, pyrin domain containing 1"	NM_014922	ENSG00000091592	Hs.652273
15494			NM_016380		Data not found
15495	TREX1	Three prime repair exonuclease 1	NM_016381	ENSG00000213689	Hs.707026
15496	FNDC3A	Fibronectin type III domain containing 3A	NM_014923		Hs.508010
15497	PRKDC	"Protein kinase, DNA-activated, catalytic polypeptide"	NM_006904	ENSG00000121031	Hs.491682
15498	PSG1	Pregnancy specific beta-1-glycoprotein 1	NM_006905	ENSG00000221878	Hs.709192
15499	KIAA0831	KIAA0831	NM_014924	ENSG00000126775	Hs.414809
15500	CD244	"CD244 molecule, natural killer cell receptor 2B4"	NM_016382	ENSG00000122223	Hs.157872
15501	NAT9	"N-acetyltransferase 9 (GCN5-related, putative)"	NM_015654	ENSG00000109065	Hs.144058
15502	LUZP4	Leucine zipper protein 4	NM_016383	ENSG00000102021	Hs.242183
15503			NM_014925		Data not found
15504	SLITRK3	"SLIT and NTRK-like family, member 3"	NM_014926	ENSG00000121871	Hs.101745
15505			NM_016384		Data not found
15506	PYCR1	Pyrroline-5-carboxylate reductase 1	NM_006907	ENSG00000183010	Hs.163451
15507	RAC1	"Ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	NM_006908		Hs.413812
15508			NM_016385		Data not found
15509	CNKSR2	Connector enhancer of kinase suppressor of Ras 2	NM_014927	ENSG00000149970	Hs.555917
15510			NM_014928		Data not found
15511	LOC100128885	Hypothetical LOC100128885	AI635340	NA	Hs.586332
15512	FASTKD2	FAST kinase domains 2	NM_014929	ENSG00000118246|ENSG00000118246	Hs.5930
15513			NM_016387		Data not found
15514	NOC2L	Nucleolar complex associated 2 homolog (S. cerevisiae)	NM_015658	ENSG00000188976	Hs.405987
15515	TRAT1	T cell receptor associated transmembrane adaptor 1	NM_016388	ENSG00000163519	Hs.138701
15516	CDH5	"Cadherin 5, type 2 (vascular endothelium)"	AI333328		Hs.76206
15517		Transcribed locus	AI262931		Hs.567760
15518	C4orf49	Chromosome 4 open reading frame 49	AI420933	ENSG00000137463	Hs.710036
15519		Transcribed locus	AA626334		Hs.116153
15520		Transcribed locus	AI279096		Hs.6729
15521	USP24	Ubiquitin specific peptidase 24	AB028980		Hs.477009
15522		Transcribed locus	AI187928		Hs.144073
15523	CYSLTR1	Cysteinyl leukotriene receptor 1	AA831526	ENSG00000173198|ENSG00000173198	Hs.201300
15524	DOCK9	Dedicator of cytokinesis 9	AB028981	ENSG00000088387	Hs.596105
15525	SORCS3	Sortilin-related VPS10 domain containing receptor 3	AB028982	ENSG00000156395	Hs.671950
15526	ADCY2	Adenylate cyclase 2 (brain)	AB028983	ENSG00000078295	Hs.481545
15527	FSTL4	Follistatin-like 4	AB028984	ENSG00000053108	Hs.483390
15528	ABCA2	"ATP-binding cassette, sub-family A (ABC1), member 2"	AB028985	ENSG00000107331	Hs.421202
15529	SGMS1	Sphingomyelin synthase 1	AI472086	ENSG00000198964	Hs.654698
15530	LIG4	"Ligase IV, DNA, ATP-dependent"	AI809944	ENSG00000174405|ENSG00000174405	Hs.166091
15531	USP22	Ubiquitin specific peptidase 22	AB028986	ENSG00000124422	Hs.462492
15532	ZC3H4	Zinc finger CCCH-type containing 4	AB028987		Hs.104661
15533	TTC23	Tetratricopeptide repeat domain 23	AI014546	ENSG00000103852	Hs.513195
15534	EMX2	Empty spiracles homeobox 2	X68880	ENSG00000170370|ENSG00000170370	Hs.202095
15535	MAPK8IP3	Mitogen-activated protein kinase 8 interacting protein 3	AB028989	ENSG00000138834	Hs.207763
15536	RBBP6	Retinoblastoma binding protein 6	NM_006910		Hs.188553
15537	RLN1	Relaxin 1	NM_006911	ENSG00000107018	Hs.368996
15538	RIT1	Ras-like without CAAX 1	NM_006912	ENSG00000143622	Hs.491234
15539	SAPS1	"SAPS domain family, member 1"	NM_014931	ENSG00000105063	Hs.515610
15540	C9orf114	Chromosome 9 open reading frame 114	NM_016390		Hs.224137
15541	RNF5	Ring finger protein 5	NM_006913	ENSG00000183574|ENSG00000204308|ENSG00000206254|ENSG00000183574|ENSG00000204308|ENSG00000206254	Hs.718462
15542	NLGN1	Neuroligin 1	NM_014932	ENSG00000169760|ENSG00000169760	Hs.478289
15543	SEC31A	SEC31 homolog A (S. cerevisiae)	NM_014933	ENSG00000138674|ENSG00000138674	Hs.370024
15544	RORB	RAR-related orphan receptor B	NM_006914		Hs.494178
15545	NOP16	NOP16 nucleolar protein homolog (yeast)	NM_016391	ENSG00000048162	Hs.696283
15546	DZIP1	DAZ interacting protein 1	NM_014934	ENSG00000134874	Hs.656580
15547	RP2	Retinitis pigmentosa 2 (X-linked recessive)	NM_006915	ENSG00000102218	Hs.44766
15548	PLEKHA6	"Pleckstrin homology domain containing, family A member 6"	NM_014935	ENSG00000143850	Hs.253146
15549	RXRG	"Retinoid X receptor, gamma"	NM_006917	ENSG00000143171	Hs.26550
15550	ENPP4	Ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	NM_014936	ENSG00000001561	Hs.643497
15551	SC5DL	"Sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like"	NM_006918	ENSG00000109929	Hs.287749
15552	PTPLAD1	Protein tyrosine phosphatase-like A domain containing 1	NM_016395	ENSG00000074696	Hs.512973
15553	INPP5F	Inositol polyphosphate-5-phosphatase F	NM_014937	ENSG00000198825	Hs.369755
15554	SERPINB3	"Serpin peptidase inhibitor, clade B (ovalbumin), member 3"	NM_006919	ENSG00000206073	Hs.227948
15555	MLXIP	MLX interacting protein	NM_014938	ENSG00000175727	Hs.437153
15556	CTDSPL2	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2"	NM_016396		Hs.497967
15557	KIAA1012	KIAA1012	NM_014939	ENSG00000153339	Hs.202001
15558			NM_016397		Data not found
15559	PCDHB5	Protocadherin beta 5	NM_015669	ENSG00000113209	Hs.119693
15560			NM_016398		Data not found
15561		Transcribed locus	AA609695		Hs.112750
15562	TRIAP1	TP53 regulated inhibitor of apoptosis 1	NM_016399	ENSG00000170855	Hs.69499
15563	C19orf28	Chromosome 19 open reading frame 28	AI693690	ENSG00000161091	Hs.656901
15564	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	AA766385		Hs.504096
15565	KIFC2	Kinesin family member C2	AI571024	ENSG00000167702	Hs.528713
15566	EXOC7	Exocyst complex component 7	AB028990	ENSG00000182473	Hs.514496
15567			AI032580		Data not found
15568	SASH1	SAM and SH3 domain containing 1	AW173150		Hs.193133
15569	NUDCD3	NudC domain containing 3	AB028991	ENSG00000015676	Hs.488171
15570	PLCH1	"Phospholipase C, eta 1"	AB028992	ENSG00000114805	Hs.567423
15571	MMP7	"Matrix metallopeptidase 7 (matrilysin, uterine)"	Z11887	ENSG00000137673	Hs.2256
15572	RNF149	Ring finger protein 149	AI738996	ENSG00000163162	Hs.142074
15573	AMOT	Angiomotin	AB028994	ENSG00000126016	Hs.528051
15574	TENC1	Tensin like C1 domain containing phosphatase (tensin 2)	AB028998	ENSG00000111077	Hs.6147
15575	SETD1B	SET domain containing 1B	AB028999	ENSG00000139718	Hs.507122
15576		Transcribed locus	AI928513		Hs.59203
15577	MON1B	MON1 homolog B (yeast)	NM_014940	ENSG00000103111	Hs.513743
15578	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	NM_015670	ENSG00000161956	Hs.513926
15579	MORC2	MORC family CW-type zinc finger 2	NM_014941	ENSG00000133422	Hs.555918
15580	ANKRD6	Ankyrin repeat domain 6	NM_014942	ENSG00000135299	Hs.702213
15581	SDF2	Stromal cell-derived factor 2	NM_006923	ENSG00000132581	Hs.514036
15582	SFRS1	"Splicing factor, arginine/serine-rich 1"	NM_006924	ENSG00000136450|ENSG00000136450|ENSG00000136450	Hs.68714
15583	ZHX2	Zinc fingers and homeoboxes 2	NM_014943	ENSG00000178764	Hs.719079
15584	SFRS5	"Splicing factor, arginine/serine-rich 5"	NM_006925	ENSG00000100650	Hs.632326
15585	CLSTN1	Calsyntenin 1	NM_014944	ENSG00000171603	Hs.29665
15586	ABLIM3	"Actin binding LIM protein family, member 3"	NM_014945	ENSG00000173210	Hs.49688
15587	ST3GAL2	"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"	NM_006927	ENSG00000157350	Hs.368611
15588	GADD45B	"Growth arrest and DNA-damage-inducible, beta"	NM_015675	ENSG00000099860	Hs.110571
15589	SPAST	Spastin	NM_014946	ENSG00000021574	Hs.468091
15590	FOXJ3	Forkhead box J3	NM_014947	ENSG00000198815	Hs.26023
15591	SILV	Silver homolog (mouse)	NM_006928	ENSG00000185664	Hs.95972
15592		"CDNA FLJ11143 fis, clone PLACE1006598"	AK002005	NA	Hs.574781
15593	SH3YL1	"SH3 domain containing, Ysc84-like 1 (S. cerevisiae)"	NM_015677	ENSG00000035115	Hs.515951
15594	UBOX5	U-box domain containing 5	NM_014948		Hs.654646
15595	SKIV2L	Superkiller viralicidic activity 2-like (S. cerevisiae)	NM_006929	ENSG00000206267|ENSG00000204351	Hs.89864
15596	KIAA0907	KIAA0907	NM_014949		Hs.719258
15597	SFTPA1B	Surfactant protein A1B	M13686	ENSG00000185303|ENSG00000122852|ENSG00000185303|ENSG00000122852	Hs.645340
15598	GRB10	Growth factor receptor-bound protein 10	AA905088	ENSG00000106070|ENSG00000106070	Hs.164060
15599			AI023611		Data not found
15600	NBEA	Neurobeachin	NM_015678	ENSG00000172915	Hs.491172
15601	TRUB2	TruB pseudouridine (psi) synthase homolog 2 (E. coli)	NM_015679	ENSG00000167112	Hs.632685
15602		Full length insert cDNA YR35E08	H59623	NA	Hs.658577
15603	CXorf24	Chromosome X open reading frame 24	AI860934	NA	Hs.597617
15604			T87837		Data not found
15605	IQUB	IQ motif and ubiquitin domain containing	N95552	ENSG00000164675	Hs.159650
15606	PKIB	"Protein kinase (cAMP-dependent, catalytic) inhibitor beta"	AI401707	ENSG00000135549	Hs.719228
15607	SKP1	S-phase kinase-associated protein 1	NM_006930	ENSG00000113558	Hs.171626
15608	ZBTB1	Zinc finger and BTB domain containing 1	NM_014950	ENSG00000126804	Hs.655536
15609	SLC2A3	"Solute carrier family 2 (facilitated glucose transporter), member 3"	NM_006931	ENSG00000059804	Hs.419240
15610	C2orf24	Chromosome 2 open reading frame 24	NM_015680	ENSG00000115649	Hs.4973
15611	ZNF365	Zinc finger protein 365	NM_014951	ENSG00000138311	Hs.22653
15612	SMTN	Smoothelin	NM_006932		Hs.149098
15613	BAHD1	Bromo adjacent homology domain containing 1	NM_014952	ENSG00000140320	Hs.22109
15614	MRPS6	Mitochondrial ribosomal protein S6	NM_006933	ENSG00000214955|ENSG00000214955	Hs.302742
15615		Transcribed locus	AA830778		Hs.661575
15616	B9D1	B9 protein domain 1	NM_015681	ENSG00000108641	Hs.462445
15617	DIS3	DIS3 mitotic control homolog (S. cerevisiae)	NM_014953		Hs.643464
15618	SLC6A9	"Solute carrier family 6 (neurotransmitter transporter, glycine), member 9"	NM_006934	ENSG00000196517	Hs.442590
15619	RPH3A	Rabphilin 3A homolog (mouse)	NM_014954	ENSG00000089169	Hs.21239
15620	SUMO3	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	NM_006936	ENSG00000184900	Hs.474005
15621	ATP5S	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)"	NM_015684		Hs.438489
15622	SUMO2	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	NM_006937	NA	Hs.546298
15623	CEP164	Centrosomal protein 164kDa	NM_014956	ENSG00000110274	Hs.504009
15624	SDCBP2	Syndecan binding protein (syntenin) 2	NM_015685	ENSG00000125775	Hs.657015
15625	FAM155B	"Family with sequence similarity 155, member B"	NM_015686	ENSG00000130054	Hs.87619
15626	SNRPD1	Small nuclear ribonucleoprotein D1 polypeptide 16kDa	NM_006938	ENSG00000167088	Hs.464734
15627			NM_014958		Data not found
15628	GRAMD2	GRAM domain containing 2	AK002016	ENSG00000175318	Hs.596332
15629	CARD8	"Caspase recruitment domain family, member 8"	NM_014959	ENSG00000105483|ENSG00000105483	Hs.446146
15630	C1orf135	Chromosome 1 open reading frame 135	AW117920	ENSG00000127423	Hs.149305
15631	GSDMC	Gasdermin C	AI052543	ENSG00000147697	Hs.133244
15632	FBXO8	F-box protein 8	AF233224	ENSG00000164117	Hs.76917
15633	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	AK002019		Hs.705442
15634	LRRC7	Leucine rich repeat containing 7	AI079830	ENSG00000033122|ENSG00000033122	Hs.479658
15635		Transcribed locus	R37396		Hs.656608
15636	GDAP1L1	Ganglioside-induced differentiation-associated protein 1-like 1	AI768135	ENSG00000124194	Hs.517059
15637	C10orf84	Chromosome 10 open reading frame 84	AI970942	ENSG00000165669	Hs.372309
15638		Transcribed locus	AA524267		Hs.718670
15639		Transcribed locus	AI810636		Hs.606916
15640	SOX5	SRY (sex determining region Y)-box 5	NM_006940	ENSG00000134532	Hs.657542
